DATE,POLSLRTTO02IXOBM
02/01/2016,89.6556894944099
03/01/2016,102.180465700956
04/01/2016,102.457560402098
05/01/2016,101.968217859926
06/01/2016,105.272775565256
07/01/2016,104.785586608844
08/01/2016,105.60753850731
09/01/2016,104.301747674726
10/01/2016,108.36269255649
11/01/2016,104.803293869539
12/01/2016,127.101520830359
01/01/2017,98.9558299560589
02/01/2017,96.242551185549
03/01/2017,112.076192268946
04/01/2017,110.772076447509
05/01/2017,110.551214263438
06/01/2017,111.549760194237
07/01/2017,112.240582648639
08/01/2017,113.605238158668
09/01/2017,113.312111207978
10/01/2017,117.070836221398
11/01/2017,115.515229440634
12/01/2017,134.723300122914
01/01/2018,107.07676257036
02/01/2018,103.85093038893
03/01/2018,122.358367837234
04/01/2018,115.921060712773
05/01/2018,118.993988305232
